Pine_isa,     1 0 0 0 0 0 0 0 1 0 0 0,    1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_is,      1 0 0 0 0 0 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_can,     1 0 0 0 0 0 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_has,     1 0 0 0 0 0 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0,

Pine_isa,     1 0 0 0 0 0 0 0 1 0 0 0,    1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_is,      1 0 0 0 0 0 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_can,     1 0 0 0 0 0 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_has,     1 0 0 0 0 0 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0,

Pine_isa,     1 0 0 0 0 0 0 0 1 0 0 0,    1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_is,      1 0 0 0 0 0 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_can,     1 0 0 0 0 0 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_has,     1 0 0 0 0 0 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0,

Pine_isa,     1 0 0 0 0 0 0 0 1 0 0 0,    1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_is,      1 0 0 0 0 0 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_can,     1 0 0 0 0 0 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Pine_has,     1 0 0 0 0 0 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0,


Robin_isa,    0 0 0 0 1 0 0 0 1 0 0 0,    1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Robin_is,     0 0 0 0 1 0 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Robin_can,    0 0 0 0 1 0 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0,
